Name,Year,Group,Status,Birth Date,Birth Place,Gender,Alma Mater,Undergraduate Major,Graduate Major,Military Rank,Military Branch,Space Flights,Space Flight (hr),Space Walks,Space Walks (hr),Missions,Death Date,Death Mission
Douglas H. Wheelock,1998,17,Active,5/5/60,"Binghamton, NY",Male,US Military Academy; Georgia Institute Of Technology,Applied Science & Engineering,Aerospace Engineering,Colonel,US Army,2,4281,6,43,"STS-120 (Discovery), ISS-24/25 (Soyuz)",,
Edward H. White II ,1962,2,Deceased,11/14/30,"San Antonio, TX",Male,US Military Academy; University Of Michigan,,Aeronautical Engineering,Lieutenant Colonel,US Air Force,2,97,1,0.5,"Gemini 4, Apollo 1",1/27/67,Apollo 1
Peggy A. Whitson,1996,16,Active,2/9/60,"Mt. Ayr, IA",Female,Iowa Wesleyan College; Rice University,Chemistry & Biology,Biochemistry,,,3,11698,7,46,"STS-111/113 (Endeavor), ISS-16 (Soyuz), ISS-50/51 (Soyuz)",,
Terrence W. Wilcutt,1990,13,Management,10/31/49,"Russellville, KY",Male,Western Kentucky University,Mathematics,,,,4,1008,0,0,"STS-68 (Endeavor), STS-79 (Atlantis), STS-89 (Endeavor), STS-106 (Atlantis)",,
Clifton C. Williams Jr. ,1963,3,Deceased,9/26/32,"Mobile, AL",Male,Auburn University,Mechanical Engineering,,Major,US Marine Corps,0,0,0,0,,10/5/67,
Donald E. Williams,1978,8,Retired,2/13/58,"Lafayette, IN",Male,Purdue University,Mechanical Engineering,,Captain,US Navy (Retired),2,287,0,0,"STS 51-D (Discovery), STS-34 (Atlantis)",,
Jeffrey N. Williams,1996,16,Active,1/18/58,"Superior, WI",Male,US Military Academy; US Naval Postgraduate School; US Naval War College,Applied Science & Engineering,Aeronautical Engineering; National Security & Strategic Studies,Colonel,US Army (Retired),4,12818,5,32,"STS-101 (Atlantis), ISS-13 (Soyuz), ISS-21/22 (Soyuz), ISS-47/48 (Soyuz)",,
Sunita L. Williams,1998,17,Active,9/19/65,"Euclid, OH",Female,US Naval Academy; Florida Institute Of Technology,Physical Science,Engineering Management,Captain,US Navy,2,7721,7,50,"STS-116/117 (Discovery/Atlantis), ISS-32/33 (Soyuz)",,
Barry E. Wilmore,2000,18,Active,12/29/62,"Murfreesboro, TN",Male,Tennessee Technological University; University Of Tennessee,Electrical Engineering,Electrical Engineering; Aviation Systems,Captain,US Navy,2,4272,4,25,"STS-129 (Atlantis), ISS-41/42 (Soyuz)",,
Stephanie D. Wilson,1996,16,Active,9/27/66,"Boston, MA",Female,Harvard University; University Of Texas,Engineering Science,Aerospace Engineering,,,3,1031,0,0,"STS-121 (Discovery), STS-120 (Discovery), STS-131 (Discovery)",,
G. Reid Wiseman,2009,20,Active,11/11/75,"Baltimore, MD",Male,Rensselaer Polytechnic Institute; Johns Hopkins University,Computer & Systems Engineering,Systems Engineering,Commander,US Navy,1,3968,2,13,ISS-40/41 (Soyuz),,
Peter J. K. WisOff,1990,13,Retired,8/16/58,"Norfolk, VA",Male,University Of Virginia; Stanford University,Physics,Applied Physics,,,4,1064,3,20,"STS-57 (Endeavor), STS-68 (Endeavor), STS-81 (Atlantis), STS-92 (Discovery)",,
David A. Wolf,1990,13,Retired,8/23/56,"Indianapolis, IN",Male,Purdue University; Indiana University,Electrical Engineering,Medicine,,,3,4044,7,41,"STS-58 (Columbia). STS-86/89 (Atlantis/Endeavor), STS-112 (Atlantis), STS-127 (Endeavor)",,
Neil W. Woodward III ,1998,17,Retired,7/26/62,"Chicago, IL",Male,Massachusetts Institute Of Technology; University Of Texas-Austin; George Washington University In St. Louis,Physics,Physics; Business Management,Commander,US Navy,0,0,0,0,,,
Alfred M. Worden,1966,5,Retired,2/7/32,"Jackson, MI",Male,US Military Academy; University Of Michigan,Military Science,Aeronautical & Astronautical Engineering,Colonel,US Air Force (Retired),1,295,1,0.5,Apollo 15,,
John W. Young,1962,2,Retired,9/24/30,"San Francisco, CA",Male,Georgia Institute Of Technology,Aeronautical Engineering,,Captain,US Navy (Retired),6,835,3,20,"Gemini 3, Gemini 10, Apollo 10, Apollo 16, STS-1 (Columbia), STS-9 (Columbia)",,
George D. Zamka,1998,17,Retired,6/29/62,"Jersey City, NJ",Male,US Naval Academy; Florida Institute Of Technology,Mathematics,Engineering Management,Colonel,US Marine Corps (Retired),2,692,0,0,"STS-120 (Discovery), STS-130 (Endeavor)",,
